,ver_claim_ids,pos
126,vclaim-sno-449000-californians-jury-duty,"['residents', 'they']"
127,vclaim-sno-450-pound-dog,['photographs']
128,vclaim-sno-4chan-user-prediction-las-vegas-shooting,['user']
129,vclaim-sno-5-meter-tall-human-skeleton,['photograph']
130,vclaim-sno-5-million-bikers-video,['video']
131,vclaim-sno-5-people-atop-skyscraper-spire,['photograph']
132,vclaim-sno-5-year-old-boy-dies-in-santas-arms,['boy']
133,vclaim-sno-50-foot-megalodon-video,['video']
134,vclaim-sno-50-miles-car-insurance,['states']
135,vclaim-sno-50-years-ribs-theft,['billionaire']
136,vclaim-sno-510-foot-cheesesteak-sandwich,['chefs']
137,vclaim-sno-512-year-old-shark,"['researchers', 'that']"
138,vclaim-sno-52-thoroughbred-horses-covid-19,['owner']
139,vclaim-sno-526-teeth-removed-from-child,['doctors']
140,vclaim-sno-53000-dead-florida-voters,[]
141,vclaim-sno-57-states,"['obama', 'he']"
142,vclaim-sno-57-varieties-of-truth,[]
143,vclaim-sno-57-varieties,[]
144,vclaim-sno-5g-cellular-test-birds,['test']
145,vclaim-sno-5g-energy-horse,['family']
146,vclaim-sno-5g-tower-torn-down-china-covid,"['video', 'people']"
147,vclaim-sno-6-million-more-holocaust-event,['supremacists']
148,vclaim-sno-6-volt-battery-hack,"['video', 'batteries']"
149,vclaim-sno-600-murders-in-chicago,['murders']
150,vclaim-sno-600-stings-beehive,"['boy', 'he']"
151,vclaim-sno-6000-muslims-caught-border,[]
152,vclaim-sno-612-credit-for-deserving-americans,['trump']
153,vclaim-sno-62-degree-celsius-kuwait-tree-fire,"['temperature', 'trees']"
154,vclaim-sno-643000-bankruptcies-in-the-u-s-every-year-due-to-medical-bills,['americans']
155,vclaim-sno-666th-halloween,['halloween']
156,vclaim-sno-7-headed-snake,['photograph']
157,vclaim-sno-7-senegal-kids-die-covid-vax,['children']
158,vclaim-sno-7-year-old-implants,[]
159,vclaim-sno-70-minutes-goodnight-moon,['clocks']
160,vclaim-sno-700-arrests-el-paso-border,[]
161,vclaim-sno-700-pound-snake,"['photograph', 'snake']"
162,vclaim-sno-70000-pedophile-ring-busted,['investigation']
163,vclaim-sno-72-hour-challenge,"['teenagers', 'they']"
164,vclaim-sno-736-pound-catfish,['photograph']
165,vclaim-sno-7d-hologram-park,['park']
166,vclaim-sno-7d-hologram-whale-video,['video']
167,vclaim-sno-7up-discontinued,"['pepper', 'it', 'day']"
168,vclaim-sno-7up,[]
169,vclaim-sno-8-6-kilogram-baby,"['photograph', 'who']"
170,vclaim-sno-8-mile-sequel-2016,['biopic']
171,vclaim-sno-80-million-year-old-shark,['video']
172,vclaim-sno-80-percent-atlanta-gay,"['study', 'percent']"
173,vclaim-sno-80-trump-ballots-burned,['video']
174,vclaim-sno-809-area-code-scam,['that']
175,vclaim-sno-82nd-airborne-border,"['airborne', 'caravan']"
176,vclaim-sno-83-mail-in-ballots-voter-fraud,['person']
177,vclaim-sno-85-babies-covid-texas-county,['county']
178,vclaim-sno-86,['term']
179,vclaim-sno-867-5309-jenny,['song']
180,vclaim-sno-9-0-phone-scam,['scammers']
181,vclaim-sno-9-things-women-could-not-do,"['piece', 'women']"
182,vclaim-sno-9-year-old-rape-victim-appeal,['companies']
183,vclaim-sno-900-pound-man-x-ray,['image']
184,vclaim-sno-911-adultery,['attacks']
185,vclaim-sno-911-child-rescue,['who']
186,vclaim-sno-911-man-survives-fall,['man']
187,vclaim-sno-911-pentagon-attack,[]
188,vclaim-sno-911-pepsi-can,"['photograph', 'pepsi']"
189,vclaim-sno-911-shirt,['photograph']
190,vclaim-sno-911-surrender,['criminals']
191,vclaim-sno-911-wwii-memorial-vandalized,[]
192,vclaim-sno-96-armed-octopus,['photograph']
193,vclaim-sno-99-problems-all-heart-related,['rockefeller']
194,vclaim-sno-99-problems-but-the-dodgers-aint-one,['z']
195,vclaim-sno-9944-pure-luck,['soap']
196,vclaim-sno-a-banner-day,['obama']
197,vclaim-sno-a-bird-in-the-hand,['mother']
198,vclaim-sno-a-black-man-the-progressives-perfect-trojan-horse,['marcus']
199,vclaim-sno-a-blackhawk-farewell,"['members', 'father']"
200,vclaim-sno-a-bogus-banksy,[]
201,vclaim-sno-a-bone-to-pick,['video']
202,vclaim-sno-a-bridge-too-far-2,"['photographs', 'that', 'movers']"
203,vclaim-sno-a-bridge-too-far,"['photographs', 'that']"
204,vclaim-sno-a-brief-for-whitey,['reproduces']
205,vclaim-sno-a-brunt-message,['brunt']
206,vclaim-sno-a-celebrity-had-a-flat-tire-in-your-town,['celebrity']
207,vclaim-sno-a-closed-captioned-reaction-2,"['video', 'world']"
208,vclaim-sno-a-closed-captioned-reaction,"['video', 'change']"
209,vclaim-sno-a-curious-shadow,['photograph']
210,vclaim-sno-a-difficult-cabin-announcement,['photograph']
211,vclaim-sno-a-fair-shake,['beverages']
212,vclaim-sno-a-family-photo,"['photograph', 'family', 'they']"
213,vclaim-sno-a-farewell-to-arms,['ambassador']
214,vclaim-sno-a-ford-able,['barrow']
215,vclaim-sno-a-ford-dealers-report,['account']
216,vclaim-sno-a-german39s-view-on-islam,"['holocaust', 'tanay']"
217,vclaim-sno-a-good-shellacking,['library']
218,vclaim-sno-a-jaded-state,['obama']
219,vclaim-sno-a-loon-way-home,['loon']
220,vclaim-sno-a-model-exposed,['section']
221,vclaim-sno-a-murdered-witness,[]
222,vclaim-sno-a-museum-on-every-corner,[]
223,vclaim-sno-a-mysterious-roofing-job,['roofers']
224,vclaim-sno-a-new-breed-of-gunner,['photograph']
225,vclaim-sno-a-night-in-casablanca,['bros.']
226,vclaim-sno-a-presidential-hug,"['photograph', 'bush']"
227,vclaim-sno-a-presidential-landfill,['dakota']
228,vclaim-sno-a-public-disservice-announcement,['announcement']
229,vclaim-sno-a-scan-of-wealth-and-taste,['number']
230,vclaim-sno-a-secret-of-love,['pitt']
231,vclaim-sno-a-series-of-unfortunate-events,['photographs']
232,vclaim-sno-a-shady-giveaway,['eminem']
233,vclaim-sno-a-shot-in-the-dark,"['photograph', 'kennedy']"
234,vclaim-sno-a-spanish-mystery,['photographs']
235,vclaim-sno-a-star-is-borne,"['germans', 'x']"
236,vclaim-sno-a-starion-is-born,['mitsubishi']
237,vclaim-sno-a-tea-bird-in-the-hand,"['man', 'mother']"
238,vclaim-sno-a-thank-you-to-all-starbucks-customers,"['message', 'company']"
239,vclaim-sno-a-tip-for-education,"['waitress', 'man']"
240,vclaim-sno-a-tip-for-your-service,"['soldier', 'service']"
241,vclaim-sno-a-toaster-dial-is-for-minutes-not-level-of-toasty-ness,['numbers']
242,vclaim-sno-a-truckin-miracle,['gear']
243,vclaim-sno-a-very-muslim-christmas,['district']
244,vclaim-sno-a-victim-treats-his-mugger-right,['disarms']
245,vclaim-sno-a-woman-in-a-revealing-dress-attended-a-hollywood-event-amidst-protests-against-sexual-harassment,['photograph']
246,vclaim-sno-aaliyah-norris-bail,[]
247,vclaim-sno-aaron-hernandez-not-guilty,"['murder', 'he']"
248,vclaim-sno-aaron-rodgers-bernie-sanders,['rodgers']
249,vclaim-sno-aaron-rodgers-stand-for-the-flag-kneel-for-the-cross-t-shirt,"['photograph', 'rodgers', 'kneel']"
250,vclaim-sno-aarp-supports-democratic-party,"['portion', 'members']"
251,vclaim-sno-aba-letter-covid19-masks,['letter']
252,vclaim-sno-abaco-bahamas-hurricane-dorian,['post']
253,vclaim-sno-abandoned-city-near-joshua-tree,['town']
254,vclaim-sno-abandoned-puppies,['puppies']
255,vclaim-sno-abandoned-russian-hospital,['photograph']
256,vclaim-sno-abandoned-submarine-photo,['photograph']
257,vclaim-sno-abbey-lain,"['child', 'who']"
258,vclaim-sno-abby-johnson-household-voting,"['johnson', 'who', 'husband']"
259,vclaim-sno-abby-rode,['it']
260,vclaim-sno-abc-news-bans-flag-lapel-pins,['abc']
261,vclaim-sno-abc-news-poll-trump-clinton,['poll']
262,vclaim-sno-abc-video-syrian-war-footage,['news']
263,vclaim-sno-abdu-sharkawy-coronavirus,['sharkawy']
264,vclaim-sno-able-bodied-ada-mask-loophole,"['americans', 'that']"
265,vclaim-sno-aborted-fetuses-dumpster-michigan,['image']
266,vclaim-sno-abortion-ar15-florida,['woman']
267,vclaim-sno-abortion-barbie-doll,['image']
268,vclaim-sno-abortion-breast-cancer-link,"['studies', 'abortion']"
269,vclaim-sno-abortion-clinic-forceps-christmas,"['clinic', 'photograph']"
270,vclaim-sno-abortion-doping-real-practice,"['athletes', 'they']"
271,vclaim-sno-abortion-drown-flush,"['employee', 'she']"
272,vclaim-sno-abortion-rates-presidencies,['rates']
273,vclaim-sno-abortion-survive-scream,"['infant', 'who']"
274,vclaim-sno-abortionist-strangled-baby-born-alive,"['abortionist', 'clinicians']"
275,vclaim-sno-abraham-lincoln-didnt-quit,['lincoln']
276,vclaim-sno-abraham-lincolns-capitalism-prophecy,['lincoln']
277,vclaim-sno-abrams-assault-weapons,"['abrams', 'plans']"
278,vclaim-sno-abrams-campaign-sign-photo,"['photograph', 'abrams']"
279,vclaim-sno-abrams-traded-manager,[]
280,vclaim-sno-absentee-ballot-fraud-heritage,['u.s.']
281,vclaim-sno-absentee-ballots-undeliverable,"['voter', 'ballot']"
282,vclaim-sno-absentee-ballots,['crash']
283,vclaim-sno-ac-moore-closing-down,"['moore', 'it']"
284,vclaim-sno-ac-or-aoc-ercot-texas-option,"['spokesperson', 'texans']"
285,vclaim-sno-aca-versus-ahca,"['complaints', 'democrats', 'they']"
286,vclaim-sno-accused-russian-spy-mariia-butina-photographed-oval-office,['shows']
287,vclaim-sno-ace-hardware-stands-against-standing-rock,['hardware']
288,vclaim-sno-acesha-bright-murder,['video']
289,vclaim-sno-acetone-deaf,[]
290,vclaim-sno-acid-bomb,['mail']
291,vclaim-sno-acid-rain-warning,[]
292,vclaim-sno-aclu-christmas-cards,[]
293,vclaim-sno-aclu-director-resigns-over-transgender-bathroom-policy,['executive']
294,vclaim-sno-aclu-police-remove-body-cams-inauguration-protests,['union']
295,vclaim-sno-aclu-travel-warning-texas,"['aclu', 'americans']"
296,vclaim-sno-aclu-trump-used-the-word-america,"['union', 'he']"
297,vclaim-sno-act-like-youve-been-there-before,"['paterno', 'you', 'you']"
298,vclaim-sno-activists-target-big-box-chain-target-with-holiday-boycott,['group']
299,vclaim-sno-actor-harry-shearer-leaving-simpsons,"['shearer', 'he']"
300,vclaim-sno-actor-sam-elliott-really-dead,['elliott']
301,vclaim-sno-ad5-vaccine-hiv,"['researchers', 'that', 'form']"
302,vclaim-sno-adam-12-pack,"['attempt', 'he']"
303,vclaim-sno-adam-butsch-gallows-post-facebook,"['facebook', 'message', 'butsch', 'genocide']"
304,vclaim-sno-adam-lambert-metallica-singer,['lambert']
305,vclaim-sno-adam-sandler-dead,['sandler']
306,vclaim-sno-adam-sandler-death-hoax-2,[]
307,vclaim-sno-adam-sandler-death,['sandler']
308,vclaim-sno-adam-sandler-trump,"['website', 'sandler']"
309,vclaim-sno-adam-schiff-lax,[]
310,vclaim-sno-adam-schiff-pedophile-hoax,"['schiff', 'who']"
311,vclaim-sno-adam-schiff-settle-claim,"['schiff', 'who']"
312,vclaim-sno-adam-schiff-ukrainian,[]
313,vclaim-sno-adam-schiff-witnesses-testify,['schiff']
314,vclaim-sno-adam-schiffs-sister-was-married-to-george-soros-son,['sister']
315,vclaim-sno-adam-toledo-chicago-tribune,"['ed', 'headlined', '’s', 'it']"
316,vclaim-sno-adam-west-orgy,['he']
317,vclaim-sno-adams-surgeon-general-ignored,['he']
318,vclaim-sno-adding-stamp-to-ballot,[]
319,vclaim-sno-adele-death-hoax-rumors,['adele']
320,vclaim-sno-adele-white-privilege-petition,"['petitioners', 'adele', 'success']"
321,vclaim-sno-adem-flu-shot,[]
322,vclaim-sno-aden-cole-heath,['boy']
323,vclaim-sno-aderoid-approaches,['star']
324,vclaim-sno-adidas,"['company', 'i']"
325,vclaim-sno-adolf-hitler-election-namibia,['man']
326,vclaim-sno-adolf-hitler-smashing-the-nucleus,"['hitler', 'way']"
327,vclaim-sno-adopted-habits,"['couple', 'she']"
328,vclaim-sno-adrian-peterson,['son']
329,vclaim-sno-advice-and-descent,['executives']
330,vclaim-sno-advice-not-taken,"['he', 'dean', 'life', 'you']"
331,vclaim-sno-advice-to-young-brides,[]
332,vclaim-sno-aerial-footage-anti-trump-rally,['footage']
333,vclaim-sno-aerial-view-abandoned-plane,['photograph']
334,vclaim-sno-aeromexico-dna-discount,"['airline', 'aeroméxico', 'they']"
335,vclaim-sno-aerossault,['photographs']
336,vclaim-sno-afghan-foster-child-jihadi,['child']
337,vclaim-sno-african-american-hurricane-names,['congresswoman']
338,vclaim-sno-african-americans-for-obama,['obama']
339,vclaim-sno-african-billionaire-million-leave,"['billionaire', 'who']"
340,vclaim-sno-african-reconnection-ritual,"['photograph', 'tribe']"
341,vclaim-sno-african-union-issues-travel-advisory-for-u-s,['advisory']
342,vclaim-sno-after-birth-abortion,['liberals']
343,vclaim-sno-after-school-satan-clubs,['group']
344,vclaim-sno-against-the-grain,"['guests', 'rice', 'who']"
345,vclaim-sno-age-birth-year,['that']
346,vclaim-sno-ai-robots-kill-scientists,['robots']
347,vclaim-sno-aids-mary,"['man', 'words']"
348,vclaim-sno-aig-bailout,"['congress', 'company']"
349,vclaim-sno-aint-no-prophet,"['smith', 'god']"
350,vclaim-sno-air-field,['photographs']
351,vclaim-sno-air-force-academy-commencement-2013,['account']
352,vclaim-sno-air-force-one-trump-daytona,['photograph']
353,vclaim-sno-air-force-one,"['photograph', 'number']"
354,vclaim-sno-air-jordans-price-drop,['jordan']
355,vclaim-sno-air-scare,['components']
356,vclaim-sno-air-to-the-throne,"['that', 'fresheners', 'car', 'owner']"
357,vclaim-sno-airline-passengers-lawsuit-settlement,"['travelers', 'who']"
358,vclaim-sno-airline-ticket-giveaway-scam,"['airlines', 'who']"
359,vclaim-sno-airliner-crash-video,['video']
360,vclaim-sno-airplane-forced-to-make-emergency-landing-odor,['vagina']
361,vclaim-sno-airplane-train-runway,['picture']
362,vclaim-sno-airpods-explode-hospital,['airpod']
363,vclaim-sno-airport-scanner-detonates,"['israelis', 'that', 'passenger']"
364,vclaim-sno-aisle-and-girl,"['bridesmaid', 'usher', 'bride']"
365,vclaim-sno-aisle-of-man,"['list', 'proportions', 'we']"
366,vclaim-sno-al-baghdadi-low-risk,"['obama', 'he', 'he']"
367,vclaim-sno-al-baghdadi-released-obama,[]
368,vclaim-sno-al-baghdadi-wapo-headline,['post']
369,vclaim-sno-al-capone-woman-president,"['capone', 'states', 'cubs']"
370,vclaim-sno-al-franken-superdelegate-judgement,"['franken', 'judgment']"
371,vclaim-sno-al-gore-certify-2000-election,['gore']
372,vclaim-sno-al-gores-energy-use,['residence']
373,vclaim-sno-al-pacino-death-hoax,['pacino']
374,vclaim-sno-al-powell-nakatomi-plaza,['powell']
375,vclaim-sno-al-roker-today-show,['roker']
376,vclaim-sno-al-sharpton-paid-floyd-funeral,[]
377,vclaim-sno-al-sharpton-taxes,['sharpton']
378,vclaim-sno-al-sharptons-1992-speech-urged-blacks-to-kill-police,"['sharpton', 'he', 'blacks']"
379,vclaim-sno-al-smith-dinner-sticker,"['image', 'bartiromo']"
380,vclaim-sno-alabama-ban-radical-islam,['alabama']
381,vclaim-sno-alabama-bless-incest-marriage,['alabama']
382,vclaim-sno-alabama-cps-medical-kidnap,['agents']
383,vclaim-sno-alabama-doug-jones-ballots,['officials']
384,vclaim-sno-alabama-food-stamps-car,"['republicans', 'which', 'who']"
385,vclaim-sno-alabama-legislator-angry-that-state-of-georgia-allowed-in-olympics,['senator']
386,vclaim-sno-alabama-man-suspected-of-creating-real-life-human-centipede,['man']
387,vclaim-sno-alabama-mayor-mark-chambers,['chambers']
388,vclaim-sno-alabama-nurse-covid,['nurse']
389,vclaim-sno-alabama-poll-workers-arrest,[]
390,vclaim-sno-alabama-rape-rapist-visitation,"['court', 'rapist']"
391,vclaim-sno-alabama-require-vasectomies,['bill']
392,vclaim-sno-alabama-school-segregation,['alabama']
393,vclaim-sno-alabama-terrorist-compound,['fbi']
394,vclaim-sno-alabama-walmart-pig,[]
395,vclaim-sno-alabamas-slice-of-pi,['legislature']
396,vclaim-sno-alan-rickman-potter-meme,"['rickman', 'he']"
397,vclaim-sno-alanis-you-oughta-know,"['song', 'oughta']"
398,vclaim-sno-alarming-disarming,['clinton']
399,vclaim-sno-alaska-airlines-anniversary-offer,"['airlines', 'who']"
400,vclaim-sno-alaska-earthquake-road-repair,['photographs']
401,vclaim-sno-alaska-hawaii-washington-voters,['alaska']
402,vclaim-sno-alaska-pay-to-stay,"['residents', 'who', 'who']"
403,vclaim-sno-alaska-town-60-days-without-sun,['sun']
404,vclaim-sno-alberta-ban-girls-speaking,['province']
405,vclaim-sno-albino-hummingbird,['photographs']
406,vclaim-sno-albino-moose,['photographs']
407,vclaim-sno-alcohol-effectiveness-vaccine,['alcohol']
408,vclaim-sno-alcohol-radioactive,"['liquor', 'they']"
409,vclaim-sno-aldi-free-food-homeless-christmas,['aldi']
410,vclaim-sno-aldi-giving-away-free-groceries,"['aldi', 'who']"
411,vclaim-sno-aldi-hot-cross-buns,['aldi']
412,vclaim-sno-aldrin-not-punching-trump,"['aldrin', 'achievement']"
413,vclaim-sno-alec-baldwin-arrested-trump,['service']
414,vclaim-sno-alex-acosta-family-photograph,['photograph']
415,vclaim-sno-alex-jones-biden-removed,['jones']
416,vclaim-sno-alex-jones-mcallen,"['jones', 'who']"
417,vclaim-sno-alex-smith-died-couldnt-afford-insulin,"['man', 'he']"
418,vclaim-sno-alex-trebek-net-worth,"['trebek', 'worth']"
419,vclaim-sno-alexa-cpr,['alexa']
420,vclaim-sno-alexa-orders-dollhouse-and-cookies,"['alexa', 'child', 'report']"
421,vclaim-sno-alexander-hall,['who']
422,vclaim-sno-alexander-vindman-llod,['who']
423,vclaim-sno-alexandra-olenka-kuczma,['girl']
424,vclaim-sno-alexandria-ocasio-cortez-amazon,['cortez']
425,vclaim-sno-alexandria-ocasio-cortez-credit,['cortez']
426,vclaim-sno-alexandria-ocasio-cortez-ensemble,['cortez']
427,vclaim-sno-alexandria-ocasio-cortez-hot-dog-on-stick,"['photograph', 'cortez']"
428,vclaim-sno-alexandria-ocasio-cortez-husband,[]
429,vclaim-sno-alexandria-shooter-james-hodgkinson-protested-with-sign-rand-paul-tweet,"['alexandria', 'hodgkinson']"
430,vclaim-sno-alexandrias-genesis,"['mutation', 'who']"
431,vclaim-sno-alfie-evans-vaccines,['study']
432,vclaim-sno-alfredo-rivera-video,"['video', 'who']"
433,vclaim-sno-algae-poison-dog,['algae']
434,vclaim-sno-alice-cooper-jean-stapleton,['photograph']
435,vclaim-sno-alice-in-wonderland-queen-victoria,['author']
436,vclaim-sno-alicia-machado-adult-star,['machado']
437,vclaim-sno-alien-caught-on-kerala-karnataka-border,['video']
438,vclaim-sno-alien-cellphone-found,['archaeologists']
439,vclaim-sno-alien-mummy-baffles-scientists,['scientists']
440,vclaim-sno-alien-mummy-peru,"['corpse', 'that']"
441,vclaim-sno-alien-nation,[]
442,vclaim-sno-alien-spotted-boarding-ufo-in-romania,['video']
443,vclaim-sno-alien-ufo-crash,"['government', 'that']"
444,vclaim-sno-alix-idrache-west-point-graduate,"['posts', 'who']"
445,vclaim-sno-all-about-the-benjamin,"['bachmann', 'u.s.']"
446,vclaim-sno-all-dearborn-churches-close,['churches']
447,vclaim-sno-all-ears,"['photograph', 'obama']"
448,vclaim-sno-all-female-senate-snowstorm,['senators']
449,vclaim-sno-all-of-this-for-a-damned-flag,['obama']
450,vclaim-sno-all-the-good-things,[]
451,vclaim-sno-all-time-low,['forward']
452,vclaim-sno-all-work-and-no-playstation,['page']
453,vclaim-sno-allah-or-jesus,[]
454,vclaim-sno-allahu-akbar-rally,['video']
455,vclaim-sno-allan-jones-nfl,['businessman']
456,vclaim-sno-allen-iverson-40000-strip-club,"['iverson', 'he']"
457,vclaim-sno-allen-west-colin-kaepernick,[]
458,vclaim-sno-allen-west-on-black-history-month,['article']
459,vclaim-sno-alley-oops,"['who', 'who']"
460,vclaim-sno-alligator-attack-on-golfer,['photographs']
