,ver_claim_ids,ver_claim_encodings
18,vclaim-sno-14-year-old-pregnant-flu-shot,[0.15920733 0.12364592 0.10860552 ... 0.0562813  0.         0.15866323]
19,vclaim-sno-1475-immigrant-children-missing,"[ 0.08161766  0.13653852  0.07991343 ...  0.06992397 -0.03814262
 -0.01215125]"
20,vclaim-sno-15-days-darkness-november,"[ 0.06182499  0.14175287  0.07616335 ...  0.05630037 -0.03814262
  0.08468253]"
21,vclaim-sno-15-foot-diamondback-rattler,"[ 0.13300048  0.01054248  0.17189103 ...  0.074453   -0.03814262
  0.04304729]"
22,vclaim-sno-15-homeless-dead-in-chicago,"[ 0.12086912  0.06633089  0.1571173  ...  0.07582511 -0.03814262
  0.05925562]"
23,vclaim-sno-15-year-old-killed-trespassing-while-playing-pokemon-go,"[ 0.04808117  0.1122077   0.19822767 ... -0.02343637 -0.03814262
 -0.02892261]"
24,vclaim-sno-17-women-pregnant-by-same-man,"[ 0.10961898  0.09042963  0.10195666 ...  0.05815087 -0.03814262
  0.08932287]"
25,vclaim-sno-17-year-old-astronaut-training,"[ 0.10992058  0.03361456  0.13986978 ... -0.01137078 -0.03814262
  0.06374458]"
26,vclaim-sno-174-democrats-tsa-vote,"[ 0.1170584   0.12657896  0.0398273  ... -0.03926747 -0.03814262
 -0.01188805]"
27,vclaim-sno-179-kids-missing-indiana-2017,"[ 0.04535459  0.12839122  0.04071782 ...  0.11450864 -0.03814262
  0.02101065]"
28,vclaim-sno-18-inches-of-bullet-casings-cover-chicago-streets,"[ 0.04408421  0.11112289  0.13991661 ...  0.10577288 -0.03814262
  0.05654886]"
29,vclaim-sno-18-legally-adopt-17-year-old,"[ 0.1549532   0.11901918  0.07176994 ... -0.03926747 -0.02262755
 -0.02203827]"
30,vclaim-sno-18-migrant-children-died-obama,"[ 0.11969706  0.15367658  0.10738374 ...  0.11363713 -0.03814262
 -0.01967834]"
31,vclaim-sno-18-million-illegal-immigrants-checks-shutdown,"[ 0.02577945  0.11646388  0.07035485 ...  0.07384755 -0.03814262
 -0.01958425]"
32,vclaim-sno-180-day-countdown-ufo,"[ 0.03705068  0.18420239  0.07620584 ...  0.0077793   0.12239788
 -0.00725552]"
33,vclaim-sno-1860-painting-woman-iphone,"[ 0.04661322  0.06728845  0.19156249 ...  0.07724205 -0.03814262
  0.07384079]"
34,vclaim-sno-1866-milligan-social-distancing,"[ 0.01426705  0.02659685  0.0461593  ...  0.06848169 -0.03814262
  0.01592466]"
35,vclaim-sno-1872-rules-for-teachers,[0.08154586 0.11615036 0.06403977 ... 0.0585864  0.00887934 0.03922704]
36,vclaim-sno-1898-julia-richardson,"[ 0.06918803  0.14985177  0.10448699 ...  0.12825578 -0.03814262
  0.12251408]"
37,vclaim-sno-1898-oklahoma-tornado,"[ 0.08373067  0.10512494  0.10448699 ...  0.15558079 -0.03718134
  0.06967168]"
38,vclaim-sno-1900s-playground-photo,"[ 0.0706914   0.03465061  0.1719192  ...  0.11718115 -0.00798689
 -0.01549755]"
39,vclaim-sno-191-years-old-mama-esifiho-may-oldest-woman-alive,"[ 0.13914278  0.02047747  0.15898344 ... -0.01311997 -0.03814262
 -0.00738336]"
40,vclaim-sno-1911-poseidon-adventure,"[ 0.09565217  0.09220463  0.11231542 ...  0.01839153 -0.03814262
  0.01211507]"
41,vclaim-sno-1912-article-global-warming,[0.09278665 0.16901383 0.14096612 ... 0.08023378 0.05158663 0.04785018]
42,vclaim-sno-1918-quarantine-ad-for-phone,"[ 0.09110526  0.10245367  0.11649808 ...  0.15018149 -0.03814262
  0.02827741]"
43,vclaim-sno-1922-new-york-times-hitler,"[ 0.09062894  0.09257597  0.15732339 ...  0.01784476 -0.03814262
  0.07772335]"
44,vclaim-sno-1930s-housewife-smile-therapy,"[ 0.12635446  0.10139495  0.10447998 ...  0.01919916 -0.03814262
  0.01856912]"
45,vclaim-sno-1945-airplane-reappears,"[ 0.10980385  0.14626461  0.08956221 ...  0.10159836 -0.03814262
  0.00774904]"
46,vclaim-sno-1950s-magazine-ad-colt-cobra,[0.05593424 0.08174829 0.11771812 ... 0.         0.         0.        ]
47,vclaim-sno-1956-republican-platform,"[ 0.09580144  0.13826843  0.08495459 ...  0.07511483 -0.03814262
  0.07050464]"
48,vclaim-sno-1970-quarter-ebay-canada,"[ 0.06668836  0.1666377   0.10844175 ...  0.05764778 -0.03294007
 -0.00685408]"
49,vclaim-sno-1970s-anti-marijuana-ad,"[ 0.011008    0.12471809  0.12472954 ...  0.00827939 -0.00246972
  0.07304956]"
50,vclaim-sno-1992-mad-magazine-trump,[0.07762985 0.10771552 0.06092953 ... 0.01691869 0.01523899 0.1765047 ]
51,vclaim-sno-1994s-most-bizarre-suicide,[0.05064673 0.08184636 0.09495957 ... 0.04033159 0.         0.03880381]
52,vclaim-sno-1996-law-non-citizens-vote,"[ 0.00448892  0.1332561   0.05316032 ... -0.00080664  0.0364561
  0.01800435]"
53,vclaim-sno-1998-trump-people-quote,"[ 0.07258002  0.12088557  0.08264464 ...  0.05465429 -0.03814262
  0.18944721]"
54,vclaim-sno-2-million-bikers-to-dc,[0.06667199 0.12381984 0.05237532 ... 0.05242842 0.         0.01607207]
55,vclaim-sno-20-dollar-bill-folds-spells-trump,"[ 0.05080126  0.12252977  0.14944555 ... -0.01694412 -0.03814262
  0.07434429]"
56,vclaim-sno-200-nebraska-farmers,"[ 0.04881338  0.11662409  0.09431155 ...  0.13713813 -0.03814262
  0.16196744]"
57,vclaim-sno-20000-bills,"[ 0.06410259  0.24024099  0.01744574 ...  0.05414835 -0.03155173
  0.00356704]"
58,vclaim-sno-20000-dead-voters-in-pennsylvania,"[ 0.10525439  0.10755527  0.08132115 ...  0.07110269 -0.03814262
  0.0182367 ]"
59,vclaim-sno-2005-darwin-awards,"[ 0.09926479  0.10713089  0.1410672  ...  0.04128135 -0.03814262
  0.05035859]"
60,vclaim-sno-2009-trump-tweet-pandemic,[0.11237474 0.164335   0.14223006 ... 0.01400892 0.         0.2039336 ]
61,vclaim-sno-2011-california-traffic-ticket-fines,[0.09531249 0.21903887 0.03934506 ... 0.03181114 0.02605074 0.00736452]
62,vclaim-sno-2011-w-2-tax-forms-and-hr3590,"[ 0.09706043  0.11971056  0.05046692 ...  0.13910644  0.03946607
 -0.00614532]"
63,vclaim-sno-2011,"[ 0.02702664  0.14981502  0.14099303 ...  0.10232845 -0.03814262
  0.03997348]"
64,vclaim-sno-2012-us-olympic-team-uniforms,"[ 0.11391041  0.17420389  0.0335767  ... -0.01519948 -0.03814262
 -0.0158482 ]"
65,vclaim-sno-2012-voter-fraud,"[ 0.11209597  0.14607754  0.11158823 ...  0.04926192 -0.03814262
 -0.00259894]"
66,vclaim-sno-2014-super-bowl-rigged,"[ 0.07703617  0.10533839  0.08467007 ...  0.00037414 -0.03814262
  0.00583735]"
67,vclaim-sno-2015-pontiac-firebird-trans-am,"[ 0.07525183  0.14479426  0.07299099 ... -0.00708955  0.01161462
 -0.02892261]"
68,vclaim-sno-2016-obamas-america,"[ 0.05192071  0.06643411  0.0355355  ... -0.00298535 -0.03814262
  0.16568527]"
69,vclaim-sno-2017-jobs-growth-trump,"[ 0.06477068  0.14968708  0.12807097 ...  0.03463866 -0.03814262
  0.18725927]"
70,vclaim-sno-2017-tax-bill,"[ 0.11837158  0.15257609  0.01821223 ...  0.08077704 -0.00764397
  0.02111768]"
71,vclaim-sno-2018-easter-valentines-calendar-quirk,"[ 0.08323381  0.11595927  0.03435027 ...  0.02378149 -0.03814262
  0.0666004 ]"
72,vclaim-sno-2018s-amazing-calendar,"[ 0.06381773  0.07532508  0.07795803 ...  0.25580454 -0.0173749
  0.00515257]"
73,vclaim-sno-2020-census-representation,[0.06356791 0.17270812 0.08039283 ... 0.07574771 0.0139954  0.06977008]
74,vclaim-sno-2020-election-over,[0.05530693 0.1661013  0.09858283 ... 0.         0.         0.17526843]
75,vclaim-sno-2020-presidential-winner-announced,"[ 0.08456786  0.16570249  0.07804316 ... -0.01062508 -0.03814262
  0.03066408]"
76,vclaim-sno-2020-revision,[0.13639125 0.04875849 0.05689971 ... 0.03067087 0.         0.10986616]
77,vclaim-sno-2020-summer-olympics-logo,"[ 0.11235335  0.10534918  0.13228393 ...  0.11180799 -0.02108406
 -0.0126489 ]"
78,vclaim-sno-2021-dodge-ram,"[ 0.09110526  0.05103984  0.12740318 ...  0.14027366 -0.03814262
  0.05286252]"
79,vclaim-sno-21-dead-in-ontario,"[ 0.11536115  0.08115231  0.0553869  ...  0.0648326  -0.03613814
  0.02377469]"
80,vclaim-sno-21-gun-reboot,"[ 0.0354348   0.04154368  0.03246118 ...  0.04967614 -0.02340272
  0.00786615]"
81,vclaim-sno-21-gun-salute-2,"[ 0.08648115  0.1576748   0.02278766 ...  0.11788262 -0.03814262
 -0.01308406]"
82,vclaim-sno-21-gun-salute,"[ 0.10983504  0.15885432  0.05473734 ...  0.04794671 -0.00270624
 -0.02533466]"
83,vclaim-sno-22-clinton-foundation-employees-arrested,[0.05969495 0.11136605 0.09895404 ... 0.06809174 0.00307944 0.0852188 ]
84,vclaim-sno-22-missionaries-prayer-request,"[ 0.09317708  0.0370134   0.12263253 ...  0.03221352 -0.03814262
  0.01982335]"
85,vclaim-sno-23-seniors-die-from-flu-shot,"[-0.00819068  0.08517355  0.09459256 ...  0.105428   -0.02045919
  0.0313798 ]"
86,vclaim-sno-23-weeks-baby-abortion,"[ 0.06659178  0.11117408  0.16097815 ...  0.0516084  -0.03814262
  0.14411359]"
87,vclaim-sno-23-werent-killed-virginia-protest,"[ 0.05120366  0.15231326  0.03339475 ...  0.08905854 -0.03814262
 -0.00433662]"
88,vclaim-sno-23rd-psalm-dog,"[ 0.07134486  0.18782133  0.09287908 ...  0.20205288 -0.03814262
  0.00868971]"
89,vclaim-sno-24-cans-of-red-bull,"[ 0.10782555  0.11567214  0.12861939 ...  0.09373004 -0.03814262
  0.02931076]"
90,vclaim-sno-244-inmates-fijian-prison,"[ 0.03514964  0.13619943  0.04558694 ...  0.04309962 -0.03814262
 -0.01494357]"
91,vclaim-sno-25-million-fraud-votes-for-clinton,[0.10170485 0.15392077 0.05681936 ... 0.07449764 0.00617829 0.0595807 ]
92,vclaim-sno-251-mass-shootings-in-us,"[ 0.1556953   0.12380034  0.0895438  ...  0.06725215 -0.03814262
 -0.00606279]"
93,vclaim-sno-26-guards,"[ 0.08128072  0.09473309  0.17134647 ...  0.02849059 -0.03814262
 -0.0271388 ]"
94,vclaim-sno-27-republicans-endorse-biden,"[ 0.10269507  0.14350177  0.03556705 ... -0.03799769 -0.00846903
  0.06520972]"
95,vclaim-sno-27000-people-came-to-a-bernie-sanders-rally-in-california,"[ 0.08115865  0.17768565  0.06726921 ...  0.05189004 -0.03814262
  0.12521324]"
96,vclaim-sno-278-years-golf,"[ 0.10491612  0.11555211  0.01138693 ...  0.09307513 -0.03522237
  0.08475817]"
97,vclaim-sno-28-foot-crocodile-killed-australia-1957,"[ 0.18840306  0.0398345   0.1252746  ...  0.10324294 -0.03814262
  0.01275596]"
98,vclaim-sno-280-pound-catfish,"[ 0.11747503  0.15289208  0.10555592 ...  0.08773571 -0.03814262
  0.11995776]"
99,vclaim-sno-28th-amendment,"[ 0.08594435  0.12846382  0.03839127 ... -0.00302526  0.023187
  0.12294052]"
100,vclaim-sno-29-august-hurricanes,"[ 0.13427815  0.13197243  0.10933206 ...  0.12541103 -0.03814262
  0.00441544]"
101,vclaim-sno-3-horned-ankole-cow-uganda,"[ 0.15104796  0.0506045   0.11573413 ...  0.1325572  -0.0318034
  0.06678613]"
102,vclaim-sno-3-musketeers,[0. 0. 0. ... 0. 0. 0.]
103,vclaim-sno-30-marines-killed-helicopter,"[ 0.10534998  0.05506357  0.05417476 ...  0.0335528  -0.03814262
 -0.02892261]"
104,vclaim-sno-30-point-buck,[0.10272229 0.12302367 0.12293834 ... 0.10755051 0.         0.10410166]
105,vclaim-sno-300-children-found-frozen-alive,"[ 0.10782555  0.08455864  0.09694307 ...  0.15204594 -0.03814262
  0.08725977]"
106,vclaim-sno-30000-scientists-reject-climate-change,[0.04975026 0.12820114 0.09445821 ... 0.0811388  0.04793464 0.06652959]
107,vclaim-sno-300000-wisconsin-voters-turned-away-due-to-voter-id-laws,"[ 0.05444108  0.14807801  0.06821419 ...  0.00207787 -0.03387944
  0.16987649]"
108,vclaim-sno-35000-soldiers-dead-anthrax-vaccinations,[0.05163355 0.11804132 0.10178006 ... 0.06342702 0.02950029 0.01246475]
109,vclaim-sno-39-missing-children-trailer-ga,"[ 0.07473271  0.07329524  0.13537191 ...  0.12092791 -0.03814262
  0.03496354]"
110,vclaim-sno-3d-printed-rhino-horn-developed,"[ 0.08719766  0.13324018  0.09933995 ...  0.0212048  -0.03814262
  0.11892381]"
111,vclaim-sno-3d-printer,"[ 0.15380944  0.04843305  0.12927441 ...  0.05538516 -0.03814262
  0.07748547]"
112,vclaim-sno-3rd-grade-students-disciplined,"[ 0.06319115  0.07637332  0.05637367 ...  0.12560879 -0.00727444
  0.05079246]"
113,vclaim-sno-4-dem-senators-turn-gop,"[ 0.1382052   0.20798059  0.03044802 ...  0.04854076 -0.03814262
  0.18559688]"
114,vclaim-sno-4-year-old-boy-accused-of-hacking-fbi-database,"[ 0.01191513  0.13377827  0.08382538 ... -0.01578431 -0.02892422
  0.01777726]"
115,vclaim-sno-400-ft-ice-ship-antarctica,[0.08319104 0.06933118 0.1488354  ... 0.08595865 0.00571565 0.04294987]
116,vclaim-sno-400-papers-published-in-2017-prove-that-global-warming-is-myth,[0.08768899 0.11346858 0.0637389  ... 0.03507302 0.07076412 0.04639542]
117,vclaim-sno-400-pound-woman-sue-paris-zoo-escaped-hippo-tried-rape,"[ 0.05182435  0.01349473  0.16411936 ...  0.06427832 -0.02150259
  0.06873991]"
118,vclaim-sno-41-lb-rat-photo,"[ 0.09760834  0.07768992  0.10448699 ...  0.0990576  -0.03814262
  0.01103387]"
119,vclaim-sno-41-senators-vote-babies-born-alive,[0.10849765 0.11834675 0.04702229 ... 0.04003813 0.00565072 0.12853718]
120,vclaim-sno-413-chicken-nuggets-eaten,"[ 0.08469565  0.08019004  0.17583556 ...  0.19581738 -0.0346692
  0.0686369 ]"
121,vclaim-sno-41999-and-change,"[ 0.08075849  0.1252813   0.14075203 ...  0.1538712  -0.03814262
  0.06632075]"
122,vclaim-sno-420,"[ 0.04765236  0.05884992  0.12832746 ...  0.02965224  0.03547699
 -0.02892261]"
123,vclaim-sno-425-pound-teacher-suspended-sitting-student-farting-mouth,"[ 0.03966415  0.03226462  0.10232843 ...  0.0508461  -0.00450403
  0.15620615]"
124,vclaim-sno-43-percent-food-stamps-illegal,"[ 0.06751871  0.15581693  0.1028313  ...  0.14239305 -0.03814262
 -0.01901707]"
125,vclaim-sno-430-pound-buck,"[ 0.09616251  0.09594923  0.09679572 ...  0.0757268  -0.03814262
  0.10836466]"
126,vclaim-sno-449000-californians-jury-duty,"[ 0.08367812  0.17861475  0.10792968 ... -0.01758389 -0.03814262
  0.01227471]"
127,vclaim-sno-450-pound-dog,"[ 0.10272229  0.02473477  0.02752897 ...  0.09482379 -0.03814262
  0.05287576]"
128,vclaim-sno-4chan-user-prediction-las-vegas-shooting,"[ 0.13859679  0.11099842  0.14390291 ...  0.05979899 -0.03814262
  0.02929978]"
129,vclaim-sno-5-meter-tall-human-skeleton,"[ 0.19633701  0.03201378  0.11120233 ...  0.08297703 -0.03814262
  0.01759384]"
130,vclaim-sno-5-million-bikers-video,"[ 0.10782555  0.21151751  0.04341401 ...  0.17613694 -0.02418034
  0.03684257]"
131,vclaim-sno-5-people-atop-skyscraper-spire,"[ 0.05682091  0.20605013  0.14865668 ...  0.2237042  -0.03814262
  0.02355162]"
132,vclaim-sno-5-year-old-boy-dies-in-santas-arms,"[ 0.14045286  0.07825749  0.08062598 ...  0.06729108 -0.02549614
  0.08678475]"
133,vclaim-sno-50-foot-megalodon-video,"[ 0.10782555  0.09246289  0.15060084 ...  0.09041922 -0.03814262
  0.03558771]"
134,vclaim-sno-50-miles-car-insurance,"[ 0.14957164  0.15044394  0.04139083 ...  0.12079509  0.01383827
 -0.02191846]"
135,vclaim-sno-50-years-ribs-theft,"[ 0.05389703  0.0873763   0.11952035 ...  0.12228908 -0.03814262
  0.07694068]"
136,vclaim-sno-510-foot-cheesesteak-sandwich,[0.14442436 0.04903948 0.2121687  ... 0.11352018 0.         0.04076629]
137,vclaim-sno-512-year-old-shark,"[ 0.14505373  0.08639625  0.06199279 ...  0.10603475 -0.01610926
  0.08837166]"
138,vclaim-sno-52-thoroughbred-horses-covid-19,"[ 0.0866591   0.01787013  0.04664399 ...  0.12518796 -0.0323938
  0.00725382]"
139,vclaim-sno-526-teeth-removed-from-child,"[ 0.10719999  0.07798114  0.08023395 ...  0.02284757 -0.03814262
  0.03892447]"
140,vclaim-sno-53000-dead-florida-voters,"[ 0.0860304   0.08750012  0.08867162 ...  0.05251393 -0.03814262
  0.07431583]"
141,vclaim-sno-57-states,"[ 0.05386596  0.10841537  0.07525547 ...  0.04552146 -0.03751534
  0.06372968]"
142,vclaim-sno-57-varieties-of-truth,"[ 0.05892685  0.06839037  0.0907385  ...  0.14484966 -0.03814262
  0.14359343]"
143,vclaim-sno-57-varieties,[0. 0. 0. ... 0. 0. 0.]
144,vclaim-sno-5g-cellular-test-birds,[0.11162593 0.11718088 0.14691831 ... 0.06339845 0.01111975 0.00172141]
145,vclaim-sno-5g-energy-horse,"[ 0.00546907  0.1070876   0.10831702 ...  0.1289411  -0.03814262
  0.01170393]"
146,vclaim-sno-5g-tower-torn-down-china-covid,"[ 0.1565302   0.10740399  0.15879847 ...  0.10667098 -0.02497366
  0.02323635]"
147,vclaim-sno-6-million-more-holocaust-event,"[ 0.08272542  0.18911521  0.06174959 ...  0.24995914 -0.03814262
  0.02905883]"
148,vclaim-sno-6-volt-battery-hack,"[ 0.09840234  0.05732361  0.00927416 ...  0.07796544 -0.02176145
  0.05388018]"
149,vclaim-sno-600-murders-in-chicago,"[ 0.11668763  0.11542416  0.0608951  ...  0.02404287 -0.03814262
  0.03205143]"
150,vclaim-sno-600-stings-beehive,"[ 0.06363057  0.03355759  0.10860552 ...  0.1899705  -0.03814262
  0.02420373]"
151,vclaim-sno-6000-muslims-caught-border,[0.09976987 0.01550973 0.14704938 ... 0.03423386 0.00364719 0.06685602]
152,vclaim-sno-612-credit-for-deserving-americans,"[ 0.08436636  0.18161763  0.0193925  ...  0.07197722 -0.03814262
  0.12241319]"
153,vclaim-sno-62-degree-celsius-kuwait-tree-fire,"[ 0.11066028  0.08444432  0.09567636 ...  0.10071383  0.02567141
 -0.01135782]"
154,vclaim-sno-643000-bankruptcies-in-the-u-s-every-year-due-to-medical-bills,"[ 0.06051957  0.02839479  0.03566101 ...  0.03919319 -0.03814262
 -0.02892261]"
155,vclaim-sno-666th-halloween,"[ 0.09235186  0.08864945  0.11182254 ...  0.04602512 -0.01518207
 -0.01196556]"
156,vclaim-sno-7-headed-snake,"[ 0.10986274  0.03076475  0.16846739 ... -0.02850494 -0.03814262
  0.00210983]"
157,vclaim-sno-7-senegal-kids-die-covid-vax,"[ 0.13485985  0.10809166  0.15429756 ...  0.11598476 -0.00707838
  0.03047138]"
158,vclaim-sno-7-year-old-implants,[0.13348499 0.04933345 0.12776828 ... 0.11481232 0.00830907 0.08462477]
159,vclaim-sno-70-minutes-goodnight-moon,"[ 0.07531195  0.0982537   0.08186518 ...  0.0871385  -0.03814262
  0.08899661]"
160,vclaim-sno-700-arrests-el-paso-border,"[ 0.08904006  0.1320031   0.11906008 ...  0.05630205 -0.03814262
 -0.02892261]"
161,vclaim-sno-700-pound-snake,"[ 0.08075849  0.14271255  0.1436077  ...  0.09726696 -0.03035636
  0.08058884]"
162,vclaim-sno-70000-pedophile-ring-busted,"[ 0.08229098  0.11409635  0.10401047 ...  0.07872853 -0.03814262
 -0.02892261]"
163,vclaim-sno-72-hour-challenge,"[ 0.07805133  0.11385407  0.05493952 ...  0.16989422 -0.03274199
  0.0434501 ]"
164,vclaim-sno-736-pound-catfish,"[ 0.13130891  0.1449982   0.12136292 ...  0.10713302 -0.03814262
  0.15193412]"
165,vclaim-sno-7d-hologram-park,"[ 0.12066919  0.08154534  0.08912811 ...  0.01284719 -0.03814262
  0.05269946]"
166,vclaim-sno-7d-hologram-whale-video,"[ 0.10782555  0.1135628   0.04341401 ...  0.10082491 -0.00603006
  0.06214099]"
167,vclaim-sno-7up-discontinued,[0.08181589 0.19921663 0.06744512 ... 0.09498896 0.00634838 0.11388624]
168,vclaim-sno-7up,"[ 0.03000197  0.0930434   0.05100975 ...  0.1438068  -0.00548773
  0.01816663]"
169,vclaim-sno-8-6-kilogram-baby,"[ 0.05682091  0.09392267  0.10448699 ...  0.13012038 -0.03814262
  0.01082864]"
170,vclaim-sno-8-mile-sequel-2016,"[ 5.1965974e-02  1.5841760e-01  7.7750616e-02 ...  3.1454798e-02
 -3.8142622e-02  9.6115611e-05]"
171,vclaim-sno-80-million-year-old-shark,"[ 0.10854021  0.07318545  0.07605235 ...  0.05805229 -0.03814262
  0.03116128]"
172,vclaim-sno-80-percent-atlanta-gay,[0.12254301 0.16737738 0.16111922 ... 0.12991652 0.01672769 0.08567184]
173,vclaim-sno-80-trump-ballots-burned,"[ 0.10782555  0.13881999  0.06153274 ...  0.15588188 -0.03814262
  0.18211135]"
174,vclaim-sno-809-area-code-scam,"[ 0.12558272  0.06925832  0.10095998 ...  0.0416308  -0.02576661
 -0.02892261]"
175,vclaim-sno-82nd-airborne-border,"[ 0.10578471  0.08145826  0.15500681 ...  0.0201194  -0.03318384
  0.03688676]"
176,vclaim-sno-83-mail-in-ballots-voter-fraud,[0.04548942 0.10036251 0.1802251  ... 0.02799545 0.06048128 0.        ]
177,vclaim-sno-85-babies-covid-texas-county,"[ 0.09149689  0.15870939  0.09295127 ...  0.10143467 -0.03566
  0.1358816 ]"
178,vclaim-sno-86,"[ 0.02265746  0.10063158  0.08594818 ...  0.0838296  -0.02432368
  0.09000176]"
179,vclaim-sno-867-5309-jenny,[0.1017557  0.08495296 0.0689564  ... 0.07458771 0.07889421 0.09103571]
180,vclaim-sno-9-0-phone-scam,[0.11557857 0.1109395  0.1013648  ... 0.01835349 0.01606989 0.00308287]
181,vclaim-sno-9-things-women-could-not-do,"[ 0.07054867  0.16272482  0.15293743 ...  0.12183409 -0.03554096
  0.04914881]"
182,vclaim-sno-9-year-old-rape-victim-appeal,"[ 0.14555733  0.07892302  0.14859554 ...  0.00637347 -0.03814262
  0.04469568]"
183,vclaim-sno-900-pound-man-x-ray,"[ 0.11235335  0.09682821  0.10932909 ...  0.12077691 -0.03814262
 -0.01078325]"
184,vclaim-sno-911-adultery,"[ 0.16449828  0.11978666  0.13068007 ...  0.07411869 -0.03269701
  0.05402532]"
185,vclaim-sno-911-child-rescue,"[ 0.08112202  0.092751    0.15898344 ...  0.07273348 -0.01781401
  0.00516445]"
186,vclaim-sno-911-man-survives-fall,[0.12701267 0.129197   0.09554123 ... 0.02524565 0.05103701 0.01620029]
187,vclaim-sno-911-pentagon-attack,"[ 0.05674003  0.11224943  0.10114361 ...  0.05637673 -0.03814262
 -0.00031365]"
188,vclaim-sno-911-pepsi-can,"[ 0.08075849  0.10721008  0.08856788 ...  0.06860216 -0.03814262
  0.0905718 ]"
189,vclaim-sno-911-shirt,"[ 0.13706246  0.0761053   0.24248953 ...  0.08095057 -0.03814262
  0.07789573]"
190,vclaim-sno-911-surrender,"[ 0.10803171  0.06926783  0.14262412 ...  0.04663985 -0.03814262
 -0.00389031]"
191,vclaim-sno-911-wwii-memorial-vandalized,"[ 0.08529274  0.12317543  0.13688059 ...  0.03387081 -0.03814262
  0.03097081]"
192,vclaim-sno-96-armed-octopus,"[ 0.07166303  0.10068215  0.10448699 ...  0.08088204 -0.03814262
  0.02123701]"
193,vclaim-sno-99-problems-all-heart-related,"[ 0.06081152  0.18319784  0.01412104 ...  0.05773334 -0.03072727
  0.1868836 ]"
194,vclaim-sno-99-problems-but-the-dodgers-aint-one,[0.05261982 0.08520127 0.12720251 ... 0.00125881 0.00346226 0.14984435]
195,vclaim-sno-9944-pure-luck,"[ 0.1629394   0.08192292  0.11437744 ... -0.00807167 -0.03814262
  0.07141839]"
196,vclaim-sno-a-banner-day,"[ 0.04972912  0.13955143  0.07813784 ...  0.07051637 -0.03814262
  0.00809578]"
197,vclaim-sno-a-bird-in-the-hand,"[ 0.07836667  0.17764889  0.05257399 ...  0.08434258 -0.01443972
  0.06999199]"
198,vclaim-sno-a-black-man-the-progressives-perfect-trojan-horse,"[ 0.04754084  0.09226411  0.10791406 ... -0.02391533 -0.03814262
  0.16100784]"
199,vclaim-sno-a-blackhawk-farewell,"[ 0.01918661  0.12327918  0.03871488 ... -0.00984589 -0.03814262
  0.08403482]"
200,vclaim-sno-a-bogus-banksy,"[ 0.11727758  0.08989195  0.07430714 ... -0.01644076 -0.00667527
  0.0132245 ]"
201,vclaim-sno-a-bone-to-pick,"[ 0.13791846  0.05083491  0.10283139 ...  0.09848685 -0.03814262
  0.0674184 ]"
202,vclaim-sno-a-bridge-too-far-2,[0.10272229 0.01054248 0.09885809 ... 0.06317674 0.00113679 0.04367526]
