,ver_claim_ids,ver_claim_encodings
14,vclaim-sno-110-yard-field-goal,"[ 0.00349846  0.01405185  0.04075116 ... -0.0062055  -0.00343913
 -0.0451417 ]"
15,vclaim-sno-12-churches-france,"[ 0.02469102 -0.03452738  0.02480041 ...  0.03325418  0.02572934
 -0.01385187]"
16,vclaim-sno-12-week-photo,"[ 0.01832089  0.056976   -0.03845326 ... -0.04108739  0.04851704
  0.04115254]"
17,vclaim-sno-12th-amendment-path-to-victory,"[-0.04212746 -0.02054278 -0.05634833 ...  0.00695793  0.03977674
  0.06319208]"
18,vclaim-sno-14-year-old-pregnant-flu-shot,"[ 0.04253457  0.05753467 -0.00359467 ...  0.00829883  0.01935217
  0.04404849]"
19,vclaim-sno-1475-immigrant-children-missing,"[ 0.03291792  0.00189618 -0.03976782 ...  0.05619811  0.05658396
 -0.0156276 ]"
20,vclaim-sno-15-days-darkness-november,"[-0.01734108 -0.04266611  0.04409879 ... -0.02163038  0.01763434
  0.03893012]"
21,vclaim-sno-15-foot-diamondback-rattler,"[ 0.01410238 -0.0211554  -0.01349207 ... -0.03514789  0.00546408
 -0.00474766]"
22,vclaim-sno-15-homeless-dead-in-chicago,"[-0.03573898 -0.02946025  0.01188014 ...  0.01944    -0.00550234
  0.0505874 ]"
23,vclaim-sno-15-year-old-killed-trespassing-while-playing-pokemon-go,"[-0.00319437  0.00688066  0.05909467 ...  0.0410932   0.0590571
 -0.03709166]"
24,vclaim-sno-17-women-pregnant-by-same-man,"[-0.03956061 -0.0202043   0.01801822 ...  0.03992008  0.04009104
  0.00125309]"
25,vclaim-sno-17-year-old-astronaut-training,"[ 0.0451549   0.00220314 -0.00970841 ...  0.02083933 -0.00258043
  0.01891032]"
26,vclaim-sno-174-democrats-tsa-vote,"[ 0.03459515  0.04451083 -0.04524527 ...  0.02798803  0.05192374
  0.01731949]"
27,vclaim-sno-179-kids-missing-indiana-2017,"[ 0.01499261 -0.01662149 -0.01606914 ...  0.01738238  0.03338763
  0.03426728]"
28,vclaim-sno-18-inches-of-bullet-casings-cover-chicago-streets,"[-0.03919587 -0.0562695   0.01228872 ...  0.03995529 -0.00708524
 -0.00558229]"
29,vclaim-sno-18-legally-adopt-17-year-old,"[ 0.01362228  0.0004161  -0.0489416  ...  0.01514384 -0.00172205
 -0.0142626 ]"
30,vclaim-sno-18-migrant-children-died-obama,"[ 0.03279898  0.04394543 -0.01234439 ...  0.02827508  0.03361392
  0.00153964]"
31,vclaim-sno-18-million-illegal-immigrants-checks-shutdown,"[ 0.00669984  0.01201877 -0.03030284 ...  0.00436083  0.01338702
 -0.01769944]"
32,vclaim-sno-180-day-countdown-ufo,"[ 0.00794591 -0.0383849  -0.03891975 ... -0.01367975 -0.02130662
  0.02913333]"
33,vclaim-sno-1860-painting-woman-iphone,"[-0.01724128  0.04747492  0.01232305 ...  0.03545174  0.00037416
 -0.04706306]"
34,vclaim-sno-1866-milligan-social-distancing,"[-0.04229311 -0.00081587 -0.0560697  ...  0.00125922 -0.00836359
 -0.04448304]"
35,vclaim-sno-1872-rules-for-teachers,"[ 0.0236399  -0.01724082  0.02708036 ... -0.0247929  -0.05030103
  0.02028781]"
36,vclaim-sno-1898-julia-richardson,"[-0.03129356  0.00109536 -0.0009812  ... -0.03852418  0.04322283
 -0.02528701]"
37,vclaim-sno-1898-oklahoma-tornado,"[-0.03839542 -0.04705087  0.05200988 ... -0.04230711 -0.03571273
 -0.01141931]"
38,vclaim-sno-1900s-playground-photo,"[ 0.01727458 -0.0155903   0.03458699 ... -0.01566177  0.02074453
 -0.00712462]"
39,vclaim-sno-191-years-old-mama-esifiho-may-oldest-woman-alive,"[-0.02916156 -0.02420229 -0.0442482  ... -0.01315968 -0.00107986
  0.05305942]"
40,vclaim-sno-1911-poseidon-adventure,"[ 0.03126749  0.0624846  -0.00989567 ... -0.00225834  0.00913565
 -0.03782263]"
41,vclaim-sno-1912-article-global-warming,"[ 0.03091374  0.01338123  0.01412043 ... -0.01149557 -0.03279726
  0.00179817]"
42,vclaim-sno-1918-quarantine-ad-for-phone,"[ 0.03547232  0.03758959 -0.01323138 ... -0.00373437 -0.0126813
  0.00499423]"
43,vclaim-sno-1922-new-york-times-hitler,"[-0.0167994  -0.02107508  0.01924592 ... -0.03526538 -0.00832773
  0.00369723]"
44,vclaim-sno-1930s-housewife-smile-therapy,"[-0.00517569 -0.0028596  -0.011835   ...  0.04518626 -0.00034457
 -0.03618105]"
45,vclaim-sno-1945-airplane-reappears,"[-0.02467063 -0.01261554 -0.0395828  ...  0.03713783  0.0042882
 -0.0138004 ]"
46,vclaim-sno-1950s-magazine-ad-colt-cobra,[0.04432381 0.00131123 0.04478443 ... 0.03548647 0.02578344 0.00092999]
47,vclaim-sno-1956-republican-platform,"[-0.0176989   0.01979418 -0.0330691  ... -0.04324487  0.00824622
  0.01104852]"
48,vclaim-sno-1970-quarter-ebay-canada,"[-0.00665891  0.01053513 -0.02278613 ... -0.01770756 -0.01698296
  0.02112065]"
49,vclaim-sno-1970s-anti-marijuana-ad,"[ 0.01340012  0.01388761  0.01439173 ... -0.00764127  0.02696821
 -0.01592235]"
50,vclaim-sno-1992-mad-magazine-trump,"[-0.05387783 -0.04028833  0.0457048  ... -0.02193608  0.02259785
 -0.02357272]"
51,vclaim-sno-1994s-most-bizarre-suicide,"[-0.04618021  0.00469892  0.06265487 ...  0.04682985  0.00723407
 -0.03926027]"
52,vclaim-sno-1996-law-non-citizens-vote,"[ 0.03332272  0.00524088 -0.03078228 ...  0.04939406  0.04397699
  0.01723654]"
53,vclaim-sno-1998-trump-people-quote,"[-0.05139191 -0.0247896  -0.00281562 ... -0.03044739  0.00959662
 -0.03077981]"
54,vclaim-sno-2-million-bikers-to-dc,[0.03368624 0.04548446 0.0140674  ... 0.03135733 0.05901027 0.01621904]
55,vclaim-sno-20-dollar-bill-folds-spells-trump,"[-0.02817896 -0.01898067 -0.03294445 ...  0.00493218 -0.01279849
  0.03670559]"
56,vclaim-sno-200-nebraska-farmers,"[-0.0483049   0.03087545 -0.01918824 ... -0.0043191  -0.02076818
  0.00926606]"
57,vclaim-sno-20000-bills,"[-0.0283271   0.02137952 -0.02674253 ... -0.04607194 -0.0067272
  0.02904524]"
58,vclaim-sno-20000-dead-voters-in-pennsylvania,"[-0.03401072  0.01863945 -0.01501739 ...  0.00880064  0.0156624
  0.04779753]"
59,vclaim-sno-2005-darwin-awards,"[-0.0078264  -0.0211006  -0.0032416  ... -0.02598486 -0.02307473
 -0.02990861]"
60,vclaim-sno-2009-trump-tweet-pandemic,"[-0.00048585 -0.00400771  0.00351273 ...  0.01747426 -0.00702204
 -0.03361664]"
61,vclaim-sno-2011-california-traffic-ticket-fines,"[ 0.01699126  0.01591963  0.01472038 ...  0.03245918 -0.00346764
  0.03100289]"
62,vclaim-sno-2011-w-2-tax-forms-and-hr3590,[0.01955574 0.03381102 0.03720723 ... 0.00375453 0.0049768  0.01199576]
63,vclaim-sno-2011,"[-0.01784222  0.02545821  0.00140465 ... -0.00894404 -0.04808355
  0.02863834]"
64,vclaim-sno-2012-us-olympic-team-uniforms,"[ 0.0334888  -0.042268   -0.04894337 ...  0.02103922  0.00827196
  0.04194627]"
65,vclaim-sno-2012-voter-fraud,"[ 0.01375473 -0.02289221 -0.04134796 ...  0.00173955 -0.00355981
  0.0182423 ]"
66,vclaim-sno-2014-super-bowl-rigged,"[-0.04026104 -0.0265339  -0.0334519  ... -0.00551374  0.01007187
  0.0022532 ]"
67,vclaim-sno-2015-pontiac-firebird-trans-am,"[-0.02895267  0.02479181 -0.03002497 ...  0.017114    0.01313883
 -0.02679312]"
68,vclaim-sno-2016-obamas-america,"[-0.03274051  0.004387    0.03139699 ... -0.01652989 -0.02556889
 -0.06385206]"
69,vclaim-sno-2017-jobs-growth-trump,"[-0.00211455  0.02209974  0.00393074 ...  0.04931455 -0.03033217
  0.01312118]"
70,vclaim-sno-2017-tax-bill,"[-0.02447325 -0.02779936 -0.01068558 ... -0.04513801 -0.05558086
  0.02498194]"
71,vclaim-sno-2018-easter-valentines-calendar-quirk,"[-0.01765851 -0.02926774  0.0162588  ... -0.06127931 -0.03746824
 -0.0196367 ]"
72,vclaim-sno-2018s-amazing-calendar,"[ 0.00611969  0.00245549 -0.01618118 ... -0.02346884 -0.04899829
  0.04339201]"
73,vclaim-sno-2020-census-representation,"[-0.04104149 -0.00795718 -0.04216509 ...  0.02172549 -0.00344033
  0.05187602]"
74,vclaim-sno-2020-election-over,"[-0.04036824  0.01213521 -0.01104551 ...  0.00928957  0.00019274
  0.00593013]"
75,vclaim-sno-2020-presidential-winner-announced,"[-0.0389828  -0.02011331 -0.03498491 ...  0.02943777  0.05653841
  0.03592769]"
76,vclaim-sno-2020-revision,"[-0.04578213  0.01731309 -0.03197399 ... -0.00855353 -0.04216867
  0.0326971 ]"
77,vclaim-sno-2020-summer-olympics-logo,"[-0.02505579 -0.05997121  0.03380738 ... -0.04589146  0.05397929
  0.03165598]"
78,vclaim-sno-2021-dodge-ram,"[-0.00242214 -0.0190871   0.02663285 ...  0.01784704 -0.02898007
  0.04838357]"
79,vclaim-sno-21-dead-in-ontario,"[-0.03923408 -0.00204954  0.02835476 ... -0.02010722  0.03796805
 -0.00462383]"
80,vclaim-sno-21-gun-reboot,"[ 0.04459975  0.04921943 -0.02027363 ...  0.02887891  0.03460773
 -0.03786138]"
81,vclaim-sno-21-gun-salute-2,"[-0.02899702  0.00484255 -0.01997776 ... -0.04403812  0.00829926
  0.0445791 ]"
82,vclaim-sno-21-gun-salute,"[-0.01651145  0.04006571 -0.01574941 ... -0.02149169 -0.04185668
  0.02910648]"
83,vclaim-sno-22-clinton-foundation-employees-arrested,"[-0.01889457 -0.03789985 -0.02942223 ... -0.04421662  0.03704575
 -0.00367128]"
84,vclaim-sno-22-missionaries-prayer-request,"[ 0.03866205  0.0074908   0.01340496 ... -0.02642732  0.05205624
  0.03453742]"
85,vclaim-sno-23-seniors-die-from-flu-shot,"[ 0.00773214  0.05582218 -0.01578219 ... -0.01083686  0.03366184
  0.0332255 ]"
86,vclaim-sno-23-weeks-baby-abortion,"[-0.00442516  0.0440141   0.02726187 ...  0.0248202   0.03529051
 -0.00101023]"
87,vclaim-sno-23-werent-killed-virginia-protest,"[-0.02820786  0.02369315  0.01891189 ...  0.00690819  0.06132795
 -0.0171557 ]"
88,vclaim-sno-23rd-psalm-dog,"[-0.01675696  0.03119009  0.04182312 ...  0.01204314  0.00667736
  0.04159215]"
89,vclaim-sno-24-cans-of-red-bull,"[ 0.02395464  0.03801052  0.04658181 ...  0.02570159 -0.00369313
  0.03249159]"
90,vclaim-sno-244-inmates-fijian-prison,"[ 0.00530881  0.00113503 -0.0270017  ...  0.01227275  0.04621242
  0.00919139]"
91,vclaim-sno-25-million-fraud-votes-for-clinton,"[ 0.01349556  0.02130128 -0.03666734 ... -0.02269549 -0.00038067
 -0.00361014]"
92,vclaim-sno-251-mass-shootings-in-us,"[-0.01649885  0.01042806  0.0276867  ... -0.00354182  0.04056936
  0.01363225]"
93,vclaim-sno-26-guards,"[ 0.01337963  0.01793797 -0.01956658 ... -0.03044863  0.03681703
  0.02214314]"
94,vclaim-sno-27-republicans-endorse-biden,"[ 0.01781994 -0.00793169 -0.01283505 ... -0.00477057  0.01337537
  0.03534433]"
95,vclaim-sno-27000-people-came-to-a-bernie-sanders-rally-in-california,"[-0.01865275  0.0470262  -0.01324311 ... -0.00942431  0.05111386
  0.01659674]"
96,vclaim-sno-278-years-golf,"[-0.05481008  0.02090696 -0.01544384 ...  0.00223217 -0.01055138
 -0.05208362]"
97,vclaim-sno-28-foot-crocodile-killed-australia-1957,"[-0.01433485  0.00345948 -0.0015822  ... -0.00456272  0.0217884
 -0.00289677]"
98,vclaim-sno-280-pound-catfish,"[-0.0327572  -0.03139959  0.00015794 ...  0.03048431  0.01881895
  0.05559418]"
99,vclaim-sno-28th-amendment,"[-0.06009328  0.02334189 -0.04850182 ... -0.01254082  0.00255139
 -0.00531694]"
100,vclaim-sno-29-august-hurricanes,"[ 0.00489799 -0.01800494 -0.04260027 ...  0.01614936 -0.04377116
  0.01749999]"
101,vclaim-sno-3-horned-ankole-cow-uganda,"[ 3.2040719e-02 -8.5004969e-03  2.8906959e-05 ... -1.9430073e-02
 -1.9605014e-02  1.0189241e-02]"
102,vclaim-sno-3-musketeers,"[-0.00481107 -0.06201262  0.02909716 ... -0.02089312 -0.0146891
 -0.06017381]"
103,vclaim-sno-30-marines-killed-helicopter,"[-0.00039792  0.03969192  0.00683203 ...  0.03641433  0.00305544
 -0.0061194 ]"
104,vclaim-sno-30-point-buck,"[-0.02252752 -0.01578962  0.03013508 ... -0.02018915  0.03328593
 -0.01754336]"
105,vclaim-sno-300-children-found-frozen-alive,"[ 0.01198885  0.01842557  0.03286407 ... -0.04044848 -0.00818669
 -0.01613601]"
106,vclaim-sno-30000-scientists-reject-climate-change,"[ 0.00908097  0.01505297 -0.01090342 ...  0.00263986 -0.03451886
 -0.05167159]"
107,vclaim-sno-300000-wisconsin-voters-turned-away-due-to-voter-id-laws,"[-0.03481308  0.00392275 -0.05008236 ...  0.03307131  0.03451178
  0.022647  ]"
108,vclaim-sno-35000-soldiers-dead-anthrax-vaccinations,"[ 0.03661027  0.05361538 -0.01376541 ...  0.02697728  0.00509495
  0.00914313]"
109,vclaim-sno-39-missing-children-trailer-ga,"[ 0.0221217   0.03937747 -0.0440089  ...  0.0305196   0.01500363
 -0.01460537]"
110,vclaim-sno-3d-printed-rhino-horn-developed,"[ 0.01419397  0.02844027 -0.00034097 ... -0.03792288 -0.00612191
  0.02890843]"
111,vclaim-sno-3d-printer,"[-0.00530607  0.01982896  0.00803635 ...  0.02609768  0.01902456
 -0.06115699]"
112,vclaim-sno-3rd-grade-students-disciplined,"[ 0.05159943  0.01193249  0.04246238 ... -0.02119516  0.02645329
 -0.04729347]"
113,vclaim-sno-4-dem-senators-turn-gop,"[ 0.02689544  0.02556804 -0.05784173 ...  0.03952967  0.01583786
  0.01983895]"
114,vclaim-sno-4-year-old-boy-accused-of-hacking-fbi-database,"[ 0.03795804  0.03721884 -0.0495129  ...  0.00600311  0.04866467
 -0.05702098]"
115,vclaim-sno-400-ft-ice-ship-antarctica,"[ 0.02451021 -0.05309751  0.00825249 ... -0.00186721 -0.02776263
 -0.01037661]"
116,vclaim-sno-400-papers-published-in-2017-prove-that-global-warming-is-myth,"[ 0.00130367  0.04497218  0.01766435 ... -0.00916228 -0.04708834
 -0.00371934]"
117,vclaim-sno-400-pound-woman-sue-paris-zoo-escaped-hippo-tried-rape,"[ 0.02312596  0.00251658  0.03201981 ...  0.03715916  0.04684836
 -0.04094749]"
118,vclaim-sno-41-lb-rat-photo,"[-0.04115904 -0.04032916  0.00192434 ... -0.00746204 -0.01985911
  0.039342  ]"
119,vclaim-sno-41-senators-vote-babies-born-alive,"[ 0.00908114  0.04873371  0.00376694 ... -0.02247622  0.03941341
  0.03871692]"
120,vclaim-sno-413-chicken-nuggets-eaten,"[ 0.01780852 -0.025288    0.04145586 ...  0.0169018   0.01249393
 -0.01340759]"
121,vclaim-sno-41999-and-change,"[ 0.01046332 -0.05901263  0.05135773 ...  0.01993466 -0.04476291
  0.05798934]"
122,vclaim-sno-420,"[-0.03777453 -0.04589432  0.04564914 ... -0.0495984  -0.03207206
  0.00700977]"
123,vclaim-sno-425-pound-teacher-suspended-sitting-student-farting-mouth,"[ 0.01601042 -0.019568    0.04075803 ...  0.03438172  0.01584208
 -0.03338878]"
124,vclaim-sno-43-percent-food-stamps-illegal,"[ 0.01310631 -0.03893635 -0.05056243 ...  0.02753654  0.02131831
  0.00890919]"
125,vclaim-sno-430-pound-buck,"[-0.04542913 -0.01431077  0.00048031 ... -0.01435663  0.02086451
  0.03274017]"
126,vclaim-sno-449000-californians-jury-duty,"[ 0.0031758   0.03000686 -0.06147154 ...  0.0559973   0.04064002
  0.03297819]"
127,vclaim-sno-450-pound-dog,"[-0.00181296 -0.03232335  0.05438131 ... -0.00260771  0.01788249
  0.03154457]"
128,vclaim-sno-4chan-user-prediction-las-vegas-shooting,"[-0.03487743 -0.01723247  0.01360705 ...  0.00112842  0.01108309
  0.01271034]"
129,vclaim-sno-5-meter-tall-human-skeleton,"[-0.02995692  0.02328224 -0.03106611 ... -0.02877338  0.025916
  0.02518028]"
130,vclaim-sno-5-million-bikers-video,"[ 0.01879313 -0.02873738  0.04089911 ... -0.0157567   0.03929235
  0.05353368]"
131,vclaim-sno-5-people-atop-skyscraper-spire,"[-0.0363833  -0.00124863  0.04603252 ... -0.03497189 -0.00110323
  0.05054854]"
132,vclaim-sno-5-year-old-boy-dies-in-santas-arms,"[-0.04496067  0.04440153  0.0476887  ...  0.04236186  0.04073213
 -0.02008324]"
133,vclaim-sno-50-foot-megalodon-video,"[ 0.05747446  0.04963098 -0.00529983 ... -0.01284625  0.02636093
 -0.01053047]"
134,vclaim-sno-50-miles-car-insurance,"[-0.03800508 -0.01394661 -0.03357089 ... -0.00897281 -0.00452097
  0.01668468]"
135,vclaim-sno-50-years-ribs-theft,"[-0.01868865  0.05130348 -0.03573578 ... -0.01233059  0.02877386
 -0.06398048]"
136,vclaim-sno-510-foot-cheesesteak-sandwich,"[-0.01634256 -0.03916435  0.03912763 ...  0.0497562  -0.03205437
 -0.0295031 ]"
137,vclaim-sno-512-year-old-shark,"[ 0.0106478   0.01682991  0.00526972 ... -0.02447168  0.02114226
 -0.02091574]"
138,vclaim-sno-52-thoroughbred-horses-covid-19,"[-0.00425886  0.04085195  0.04616668 ...  0.00409861  0.04650175
  0.01735069]"
139,vclaim-sno-526-teeth-removed-from-child,"[-0.03427291  0.00830775 -0.03559424 ...  0.01378194  0.04701358
  0.03911702]"
140,vclaim-sno-53000-dead-florida-voters,"[-0.04301979  0.04019772 -0.02217629 ...  0.01452214  0.02718492
  0.00851997]"
141,vclaim-sno-57-states,"[-0.04792353 -0.03866942 -0.01611649 ... -0.01147281 -0.0099717
 -0.02135274]"
142,vclaim-sno-57-varieties-of-truth,"[ 0.04628944  0.02415543 -0.01522198 ...  0.05136364  0.04509218
 -0.00613123]"
143,vclaim-sno-57-varieties,"[-0.00481107 -0.06201262  0.02909716 ... -0.02089312 -0.0146891
 -0.06017381]"
144,vclaim-sno-5g-cellular-test-birds,"[-0.03886582  0.03560789  0.00765855 ...  0.0189911   0.00243778
  0.00191807]"
145,vclaim-sno-5g-energy-horse,[0.04785781 0.03022999 0.06004711 ... 0.05147483 0.03837356 0.01025375]
146,vclaim-sno-5g-tower-torn-down-china-covid,"[ 0.05052989  0.01003532 -0.0092968  ...  0.03079265  0.03604795
  0.04099793]"
147,vclaim-sno-6-million-more-holocaust-event,"[ 0.04523714 -0.00163153  0.05181012 ... -0.01925927  0.05417232
  0.02306968]"
148,vclaim-sno-6-volt-battery-hack,"[ 0.03327386  0.01145444  0.03743194 ... -0.03124305 -0.05010688
  0.00098672]"
149,vclaim-sno-600-murders-in-chicago,"[-0.0205506   0.00656513  0.03450757 ...  0.03093778  0.02761571
  0.02433402]"
150,vclaim-sno-600-stings-beehive,"[ 0.04712452 -0.02683744  0.05801588 ...  0.02154415  0.03038679
 -0.0372939 ]"
151,vclaim-sno-6000-muslims-caught-border,"[ 0.01054753 -0.02312844 -0.02935566 ...  0.0020035   0.02707622
  0.0465699 ]"
152,vclaim-sno-612-credit-for-deserving-americans,"[-0.04787709 -0.02771178 -0.03453651 ... -0.03967603 -0.01433819
  0.01984787]"
153,vclaim-sno-62-degree-celsius-kuwait-tree-fire,"[-0.04716747 -0.02407971  0.02541258 ... -0.00512307 -0.01752525
  0.01595511]"
154,vclaim-sno-643000-bankruptcies-in-the-u-s-every-year-due-to-medical-bills,"[-0.009503    0.05727024 -0.03143858 ...  0.04406914 -0.00367648
 -0.02375248]"
155,vclaim-sno-666th-halloween,"[-0.02806198 -0.00118033  0.0205633  ... -0.02061629 -0.01360037
  0.0480541 ]"
156,vclaim-sno-7-headed-snake,"[ 0.04399935  0.01405097 -0.02062379 ...  0.00954959 -0.0077299
  0.05022937]"
157,vclaim-sno-7-senegal-kids-die-covid-vax,"[-0.00526936  0.01526988 -0.04336675 ...  0.02568194  0.05157712
  0.05510555]"
158,vclaim-sno-7-year-old-implants,"[ 0.03610656 -0.00734948 -0.02367597 ...  0.01387211  0.0142716
  0.04998875]"
159,vclaim-sno-70-minutes-goodnight-moon,"[ 0.03102557 -0.02477975  0.02862371 ...  0.00631415 -0.03966854
  0.04130459]"
160,vclaim-sno-700-arrests-el-paso-border,"[ 0.01746142 -0.01471645 -0.02226278 ...  0.03063547 -0.01232938
  0.05921757]"
161,vclaim-sno-700-pound-snake,[0.03132584 0.01031098 0.01004218 ... 0.0352941  0.00910383 0.01036485]
162,vclaim-sno-70000-pedophile-ring-busted,"[ 0.04503363 -0.02217248 -0.00662409 ...  0.04012498  0.05913646
 -0.0280434 ]"
163,vclaim-sno-72-hour-challenge,"[ 0.04893837 -0.03849592  0.03177284 ... -0.03136856  0.02229291
  0.03823934]"
164,vclaim-sno-736-pound-catfish,"[-0.03305826 -0.03082185 -0.04803097 ...  0.02370456  0.01239265
  0.05119363]"
165,vclaim-sno-7d-hologram-park,"[ 0.01679116 -0.00899905  0.04795215 ...  0.02362022  0.02752726
  0.01475125]"
166,vclaim-sno-7d-hologram-whale-video,"[ 0.05641719  0.03493349  0.04580579 ...  0.0448897   0.01422503
 -0.01734568]"
167,vclaim-sno-7up-discontinued,"[ 0.04956437  0.0036995   0.01749377 ...  0.03279527  0.00193057
 -0.03337495]"
168,vclaim-sno-7up,"[-0.00439655 -0.04945026 -0.02174888 ... -0.00297722 -0.02711074
  0.0441118 ]"
169,vclaim-sno-8-6-kilogram-baby,"[ 0.01849602  0.02763958 -0.02266861 ...  0.01409402  0.02541796
  0.05347087]"
170,vclaim-sno-8-mile-sequel-2016,"[ 0.03479357 -0.00979367  0.01118213 ...  0.00557129 -0.03678787
 -0.04284418]"
171,vclaim-sno-80-million-year-old-shark,"[ 0.0484117   0.0088318   0.02179363 ... -0.01425395 -0.00611791
  0.00266214]"
172,vclaim-sno-80-percent-atlanta-gay,"[-0.00625809  0.03350679 -0.02529291 ...  0.03023016 -0.00643297
  0.00386347]"
173,vclaim-sno-80-trump-ballots-burned,"[ 0.02113552 -0.03398569  0.05336896 ...  0.02560087  0.04609618
 -0.03998673]"
174,vclaim-sno-809-area-code-scam,"[ 0.01369131  0.00612362 -0.02763741 ...  0.05494932 -0.04769683
  0.00844003]"
175,vclaim-sno-82nd-airborne-border,"[ 0.04220733 -0.02713123 -0.0058253  ... -0.03206447 -0.03989207
  0.06353601]"
176,vclaim-sno-83-mail-in-ballots-voter-fraud,"[-0.00442255  0.00412659 -0.04061405 ...  0.05226692  0.0170052
 -0.00707865]"
177,vclaim-sno-85-babies-covid-texas-county,"[ 0.00293593  0.02151843 -0.04603385 ... -0.01027997 -0.02320769
  0.04817781]"
178,vclaim-sno-86,"[ 0.01263408 -0.03148018 -0.0298605  ...  0.03340028 -0.03048125
 -0.00085792]"
179,vclaim-sno-867-5309-jenny,"[-0.04542756 -0.0189218   0.044507   ...  0.05561319 -0.0278056
  0.02155668]"
180,vclaim-sno-9-0-phone-scam,"[ 0.00859837  0.00603414 -0.03291729 ...  0.0559168  -0.01173912
 -0.04279845]"
181,vclaim-sno-9-things-women-could-not-do,"[-0.01217245 -0.03549106  0.04473324 ... -0.01036509 -0.01862862
  0.01299947]"
182,vclaim-sno-9-year-old-rape-victim-appeal,"[ 0.05076144 -0.04021029  0.02144639 ...  0.007719    0.03029102
 -0.04108225]"
183,vclaim-sno-900-pound-man-x-ray,"[ 0.00482785 -0.01595268  0.02122618 ...  0.03163257  0.02286632
 -0.0214846 ]"
184,vclaim-sno-911-adultery,"[-0.01575195 -0.00456596  0.00246791 ...  0.02200693 -0.02204492
 -0.04084378]"
185,vclaim-sno-911-child-rescue,"[-0.02040421  0.03550895  0.04343324 ...  0.05036888  0.05063185
  0.00162124]"
186,vclaim-sno-911-man-survives-fall,"[-0.05003759 -0.00072462  0.01589677 ...  0.01024211 -0.02583835
  0.01672054]"
187,vclaim-sno-911-pentagon-attack,"[-0.01665569  0.02802735 -0.0406059  ...  0.05420737  0.03079975
 -0.0186595 ]"
188,vclaim-sno-911-pepsi-can,"[ 0.01145256 -0.00239788  0.03776086 ...  0.03754207  0.03133082
 -0.02231865]"
189,vclaim-sno-911-shirt,"[ 0.04212374 -0.04545204  0.05262497 ...  0.00657295 -0.00354427
  0.05207222]"
190,vclaim-sno-911-surrender,"[-0.03578967 -0.02874562  0.00082212 ...  0.06286333 -0.0359759
 -0.03702011]"
191,vclaim-sno-911-wwii-memorial-vandalized,"[ 0.00794234 -0.0268006   0.04411788 ... -0.03887812  0.0376066
 -0.0485487 ]"
192,vclaim-sno-96-armed-octopus,"[ 0.04699798  0.01880581  0.02035665 ... -0.03868322 -0.01516963
 -0.02736705]"
193,vclaim-sno-99-problems-all-heart-related,"[-0.01624945  0.05957219 -0.02478641 ...  0.01731733  0.01415537
 -0.01691921]"
194,vclaim-sno-99-problems-but-the-dodgers-aint-one,"[ 0.03099097  0.00986731 -0.01374702 ...  0.01444218 -0.04947945
  0.02137665]"
195,vclaim-sno-9944-pure-luck,"[ 0.02467719  0.02076573 -0.02840534 ...  0.02726472  0.00841599
 -0.05901254]"
196,vclaim-sno-a-banner-day,"[-0.01456154 -0.01799744 -0.00591166 ...  0.01215129  0.0173981
 -0.00275492]"
197,vclaim-sno-a-bird-in-the-hand,"[-0.02011747  0.01868159  0.01770463 ...  0.02945361  0.05187578
  0.01237448]"
